study_hours,sleep_hours,attendance,score
0.5,5.0,52,36
0.8,5.5,57,39
1.0,6.0,60,42
1.2,6.5,62,45
1.5,5.8,64,47
1.8,6.2,66,50
2.0,6.0,68,52
2.2,6.7,70,55
2.5,6.5,72,58
2.8,7.0,74,61
3.0,6.8,76,63
3.2,7.2,77,65
3.5,7.0,78,67
3.8,7.5,80,70
4.0,7.2,82,72
4.2,7.8,83,74
4.5,7.5,84,76
4.8,8.0,86,79
5.0,7.8,87,81
5.2,8.2,88,83
5.5,8.0,90,85
5.8,8.3,91,87
6.0,8.1,92,89
6.2,8.5,93,91
6.5,8.2,94,93
6.8,8.6,95,95
7.0,8.4,96,96
7.2,8.8,97,97
7.5,8.5,98,98
7.8,8.0,96,97
8.0,7.5,95,96
1.0,4.5,55,35
1.5,4.8,58,40
2.0,5.0,61,46
2.5,5.2,64,51
3.0,5.5,67,56
3.5,5.8,70,61
4.0,6.0,73,66
4.5,6.2,76,71
5.0,6.5,79,76
5.5,6.8,82,81
6.0,7.0,85,86
6.5,7.2,88,90
7.0,7.5,91,94
7.5,7.8,94,96
8.0,8.0,97,99
2.0,8.5,55,49
2.5,8.0,58,53
3.0,8.5,61,58
3.5,8.0,64,62
4.0,8.5,67,67
4.5,8.0,70,72
5.0,8.5,73,77
5.5,8.0,76,81
6.0,8.5,79,86
6.5,8.0,82,90
7.0,8.5,85,93
0.7,7.0,75,45
1.4,7.5,80,53
2.1,8.0,85,62
2.8,8.5,90,72
3.5,9.0,95,82
4.2,9.2,97,88
4.9,9.5,99,92
6.0,4.5,80,75
6.5,5.0,82,79
7.0,5.5,84,83
7.5,6.0,86,87
8.0,6.5,88,91
